period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,parent_metro_region_metro_code,last_updated,period_begin_in_years,period_end_in_years,period_begin_in_months,period_end_in_months
2013-02-01,2013-02-28,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,201537.59876407296,214464.069871352,102.62495366254,108.842055988463,337906.605705953,1470445.40114052,4.56923351123562,66.5818213150229,0.9745198518964528,0.236765516132969,,2024-11-12 00:00:00,2013,2013,Feb,Feb
2020-12-01,2020-12-31,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,285025.630307602,305149.981143428,248.25042003177896,269.147604963511,72786.8204354126,166898.257898575,2.3162356061940894,37.163109499686094,0.988659830266163,0.2603332368231189,,2024-11-12 00:00:00,2020,2020,Dec,Dec
2014-09-01,2014-09-30,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,189211.820676064,198956.76186492,161.448058663433,170.542288610475,53334.1775975046,212460.643084606,3.891861850430709,58.0737910810942,0.970873214960257,0.164853222166773,,2024-11-12 00:00:00,2014,2014,Sep,Sep
2013-04-01,2013-04-30,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,205973.84608478897,219062.63828908096,106.035310436559,111.270114881624,338677.555727009,1466069.81914048,4.35201839818302,64.5278681036645,0.974216943982677,0.2260175584926409,,2024-11-12 00:00:00,2013,2013,Apr,Apr
2021-02-01,2021-02-28,30,national,11,1400,t,National,U.S.,US,All Residential,-1,348606.056565433,356769.182811118,189.015890537936,195.85226742177696,585108.503432835,883890.6301143079,1.43980041330094,22.1183769540804,1.00254443018962,0.414628675188543,,2024-11-12 00:00:00,2021,2021,Feb,Feb
2022-11-01,2022-11-30,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,420566.385044122,431445.815727504,215.279623196479,220.221698421602,332191.761338577,891620.1757265069,2.67523228676542,36.6498401704071,0.989933169920472,0.2991041626712679,,2024-11-12 00:00:00,2022,2022,Nov,Nov
2019-01-01,2019-01-31,30,national,11,1400,t,National,U.S.,US,Townhouse,13,259492.274228111,265193.16849197,159.328463834971,162.718578530065,45158.2963352507,124151.649754549,2.94495862696156,38.1726580766986,0.988415513097291,0.23888078889014,,2024-11-12 00:00:00,2019,2019,Jan,Jan
2021-08-01,2021-08-31,30,national,11,1400,t,National,U.S.,US,Townhouse,13,330799.508746156,332645.976937896,203.972827092742,207.224090676679,60475.478812015695,83579.5058052742,1.39972296204241,19.185953317136505,1.01276415514934,0.4887933165949,,2024-11-12 00:00:00,2021,2021,Aug,Aug
2017-01-01,2017-01-31,30,national,11,1400,t,National,U.S.,US,Condo/Co-op,3,228187.178765592,243639.739128421,192.747599916108,201.901887644808,62429.3735264918,170741.047558829,2.74589687433508,43.3682660422926,0.9801940152245288,0.205363987887481,,2024-11-12 00:00:00,2017,2017,Jan,Jan
2017-04-01,2017-04-30,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,269020.245496094,283871.105507098,135.364899952734,140.997576130591,404575.9724179,1267846.50052394,3.14255049115055,46.0801661380213,0.9812242691569248,0.244949827159021,,2024-11-12 00:00:00,2017,2017,Apr,Apr
2015-07-01,2015-07-31,30,national,11,1400,t,National,U.S.,US,Single Family Residential,6,239306.171493537,254745.874016786,121.426015954165,126.670215742003,388936.9928462349,1510778.39822322,3.85065948353274,56.9269261284213,0.976074485724287,0.212811850335035,,2024-11-12 00:00:00,2015,2015,Jul,Jul
2023-04-01,2023-04-30,30,national,11,1400,t,National,U.S.,US,All Residential,-1,399267.609808158,415021.5618788,219.891303480464,227.975905477164,421007.857515058,958948.2952633,2.2939145717763,39.7845207082259,0.9906798097080168,0.299202273414348,,2024-11-12 00:00:00,2023,2023,Apr,Apr
